100位	10,718,317 pt
500位	3,770,737 pt
1200位	1,594,287 pt
1300位	1,469,600 pt
1000位	1,912,236 pt
1位	237,786,871 pt
10位	43,261,608 pt
11位	40,122,619 pt
20位	23,502,242 pt
700位	2,690,100 pt
765位	2,439,383 pt
770位	2,416,874 pt
300位	5,386,981 pt
1999位	891,771 pt
2000位	891,381 pt
2999位	557,886 pt
3000位	557,846 pt
3999位	408,903 pt
4000位	408,884 pt
4999位	320,353 pt
5000位	320,094 pt
9999位	113,093 pt
10000位	113,077 pt
15000位	18,572 pt
20000位	401 pt
30000位	0 pt
※07/10 16:32 集計時点のポイントですBY SKDN
