100位	12417855 pt
500位	5736931 pt
1200位	3580281 pt
1300位	3085012 pt
1000位	4088639 pt
1位	196027374 pt
10位	58348659 pt
11位	56204567 pt
20位	28749137 pt
300位	7464320 pt
1999位	1249833 pt
2000位	1249798 pt
2999位	737364 pt
3000位	737353 pt
3999位	520033 pt
4000位	520030 pt
4999位	384717 pt
5000位	384628 pt
9999位	105338 pt
10000位	105334 pt
15000位	11860 pt
20000位	0 pt
30000位	0 pt
ラウンジ1位	582146615 pt
ラウンジ10位	246384483 pt
ラウンジ11位	236235146 pt
ラウンジ20位	62839872 pt
ラウンジ30位	45949381 pt
ラウンジ100位	19890752 pt
ラウンジ300位	7873252 pt
ラウンジ1000位	1065131 pt
※06/11 23:31 集計時点のほからん
