100位	8797338 pt
500位	4507582 pt
1200位	2499990 pt
1300位	2091625 pt
1000位	3100218 pt
1位	137330751 pt
10位	38159864 pt
11位	33765123 pt
20位	18895800 pt
300位	5638480 pt
1999位	941119 pt
2000位	939883 pt
2999位	539850 pt
3000位	539502 pt
3999位	361743 pt
4000位	361592 pt
9999位	67132 pt
10000位	67120 pt
15000位	6876 pt
20000位	0 pt
30000位	0 pt
ラウンジ1位	385138110 pt
ラウンジ10位	159652666 pt
ラウンジ11位	137374911 pt
ラウンジ20位	47587708 pt
ラウンジ30位	37261045 pt
ラウンジ100位	16083866 pt
ラウンジ300位	5954396 pt
ラウンジ1000位	806074 pt
※06/11 19:00 集計時点のポイントですBY SKDN
