北沢志保200位	2231088 pt
北沢志保210位	2211708 pt
北沢志保220位	2200177 pt
北沢志保230位	2118315 pt
北沢志保240位	2099659 pt
北沢志保250位	2045619 pt
北沢志保260位	1623049 pt
北沢志保270位	1076813 pt
北沢志保280位	669829 pt
北沢志保290位	488797 pt
北沢志保300位	346872 pt
舞浜歩200位	1328954 pt
舞浜歩210位	1306156 pt
舞浜歩220位	1282713 pt
舞浜歩230位	1260916 pt
舞浜歩240位	1224816 pt
舞浜歩250位	1208783 pt
舞浜歩260位	1129296 pt
舞浜歩270位	841802 pt
舞浜歩280位	438207 pt
舞浜歩290位	314957 pt
舞浜歩300位	245160 pt
木下ひなた200位	1410070 pt
木下ひなた210位	1391624 pt
木下ひなた220位	1378391 pt
木下ひなた230位	1354927 pt
木下ひなた240位	1324567 pt
木下ひなた250位	1303809 pt
木下ひなた260位	1258769 pt
木下ひなた270位	1116909 pt
木下ひなた280位	901646 pt
木下ひなた290位	714003 pt
木下ひなた300位	456174 pt
矢吹可奈200位	1929689 pt
矢吹可奈210位	1910320 pt
矢吹可奈220位	1896908 pt
矢吹可奈230位	1878997 pt
矢吹可奈240位	1862761 pt
矢吹可奈250位	1848792 pt
矢吹可奈260位	1827769 pt
矢吹可奈270位	1652437 pt
矢吹可奈280位	1069125 pt
矢吹可奈290位	588973 pt
矢吹可奈300位	343724 pt
横山奈緒200位	1596130 pt
横山奈緒210位	1571866 pt
横山奈緒220位	1550694 pt
横山奈緒230位	1527265 pt
横山奈緒240位	1512398 pt
横山奈緒250位	1472533 pt
横山奈緒260位	1432962 pt
横山奈緒270位	1112123 pt
横山奈緒280位	618335 pt
横山奈緒290位	388824 pt
横山奈緒300位	299849 pt
二階堂千鶴200位	1820518 pt
二階堂千鶴210位	1809883 pt
二階堂千鶴220位	1785460 pt
二階堂千鶴230位	1771489 pt
二階堂千鶴240位	1730964 pt
二階堂千鶴250位	1711319 pt
二階堂千鶴260位	1550135 pt
二階堂千鶴270位	964704 pt
二階堂千鶴280位	535186 pt
二階堂千鶴290位	421425 pt
二階堂千鶴300位	278285 pt
馬場このみ200位	1972760 pt
馬場このみ210位	1932185 pt
馬場このみ220位	1908202 pt
馬場このみ230位	1890488 pt
馬場このみ240位	1866088 pt
馬場このみ250位	1834349 pt
馬場このみ260位	1722427 pt
馬場このみ270位	1312526 pt
馬場このみ280位	653083 pt
馬場このみ290位	520254 pt
馬場このみ300位	395835 pt
大神環200位	1622204 pt
大神環210位	1607607 pt
大神環220位	1583999 pt
大神環230位	1560000 pt
大神環240位	1538588 pt
大神環250位	1514623 pt
大神環260位	1416264 pt
大神環270位	1128241 pt
大神環280位	823634 pt
大神環290位	442025 pt
大神環300位	358877 pt
豊川風花200位	1531574 pt
豊川風花210位	1514982 pt
豊川風花220位	1502927 pt
豊川風花230位	1485894 pt
豊川風花240位	1448144 pt
豊川風花250位	1428213 pt
豊川風花260位	1407751 pt
豊川風花270位	1338309 pt
豊川風花280位	1249529 pt
豊川風花290位	768741 pt
豊川風花300位	474098 pt
宮尾美也200位	2170806 pt
宮尾美也210位	2155328 pt
宮尾美也220位	2126239 pt
宮尾美也230位	2101997 pt
宮尾美也240位	2064346 pt
宮尾美也250位	2029375 pt
宮尾美也260位	1956597 pt
宮尾美也270位	1632651 pt
宮尾美也280位	899748 pt
宮尾美也290位	472895 pt
宮尾美也300位	340099 pt
福田のり子200位	1507096 pt
福田のり子210位	1494676 pt
福田のり子220位	1473603 pt
福田のり子230位	1467779 pt
福田のり子240位	1453514 pt
福田のり子250位	1437850 pt
福田のり子260位	1382340 pt
福田のり子270位	1325652 pt
福田のり子280位	1154923 pt
福田のり子290位	712709 pt
福田のり子300位	546493 pt
真壁瑞希200位	1837906 pt
真壁瑞希210位	1810749 pt
真壁瑞希220位	1776182 pt
真壁瑞希230位	1751317 pt
真壁瑞希240位	1723955 pt
真壁瑞希250位	1703979 pt
真壁瑞希260位	1587432 pt
真壁瑞希270位	1090068 pt
真壁瑞希280位	778850 pt
真壁瑞希290位	547660 pt
真壁瑞希300位	443750 pt
篠宮可憐200位	1921903 pt
篠宮可憐210位	1906973 pt
篠宮可憐220位	1870770 pt
篠宮可憐230位	1852893 pt
篠宮可憐240位	1831881 pt
篠宮可憐250位	1811053 pt
篠宮可憐260位	1683684 pt
篠宮可憐270位	987006 pt
篠宮可憐280位	589327 pt
篠宮可憐290位	374112 pt
篠宮可憐300位	296634 pt
百瀬莉緒200位	1745160 pt
百瀬莉緒210位	1713843 pt
百瀬莉緒220位	1701418 pt
百瀬莉緒230位	1689992 pt
百瀬莉緒240位	1673976 pt
百瀬莉緒250位	1649933 pt
百瀬莉緒260位	1599963 pt
百瀬莉緒270位	1288146 pt
百瀬莉緒280位	733121 pt
百瀬莉緒290位	419165 pt
百瀬莉緒300位	302461 pt
永吉昴200位	1664505 pt
永吉昴210位	1643215 pt
永吉昴220位	1617759 pt
永吉昴230位	1603751 pt
永吉昴240位	1582801 pt
永吉昴250位	1558758 pt
永吉昴260位	1449336 pt
永吉昴270位	1140559 pt
永吉昴280位	607012 pt
永吉昴290位	439429 pt
永吉昴300位	300427 pt
北上麗花200位	1882129 pt
北上麗花210位	1846469 pt
北上麗花220位	1828467 pt
北上麗花230位	1809642 pt
北上麗花240位	1792133 pt
北上麗花250位	1754215 pt
北上麗花260位	1608302 pt
北上麗花270位	1425689 pt
北上麗花280位	620822 pt
北上麗花290位	421813 pt
北上麗花300位	300998 pt
周防桃子200位	2376346 pt
周防桃子210位	2304943 pt
周防桃子220位	2266077 pt
周防桃子230位	2220177 pt
周防桃子240位	2181087 pt
周防桃子250位	2140642 pt
周防桃子260位	2016378 pt
周防桃子270位	1663517 pt
周防桃子280位	1010093 pt
周防桃子290位	590855 pt
周防桃子300位	366969 pt
ジュリア200位	1844818 pt
ジュリア210位	1818044 pt
ジュリア220位	1792812 pt
ジュリア230位	1761428 pt
ジュリア240位	1731278 pt
ジュリア250位	1661188 pt
ジュリア260位	1617388 pt
ジュリア270位	1158341 pt
ジュリア280位	691401 pt
ジュリア290位	507273 pt
ジュリア300位	359815 pt
※03/26 22:37 集計時点のポイントですBY SKDN
