100位	35263199 pt
500位	18440060 pt
1200位	15382195 pt
1300位	11197023 pt
1000位	16015981 pt
765位	16537592 pt
770位	16526968 pt
1位	523780538 pt
10位	129170768 pt
11位	115691834 pt
20位	66862389 pt
300位	21269217 pt
2000位	2936903 pt
4000位	1455142 pt
250位	21709250 pt
400位	19104823 pt
600位	17379116 pt
10000位	506985 pt
※04/19 00:00 集計時点のポイントですBY SKDN
