100位	606058837 pt
500位	310638936 pt
1200位	201857198 pt
1300位	121487650 pt
1000位	211270452 pt
765位	223487981 pt
770位	223320636 pt
1位	5500000821 pt
10位	1938807959 pt
11位	1382157761 pt
20位	834930812 pt
300位	368470390 pt
2000位	69759203 pt
4000位	29550321 pt
10000位	6168350 pt
※06/06 23:59 集計時点のポイントですBY SKDN
