100位	746196093 pt
500位	286660171 pt
1200位	244698502 pt
1300位	156148142 pt
1000位	252105746 pt
765位	257357272 pt
770位	257157027 pt
1位	8000000000 pt
10位	6675736601 pt
11位	6673853644 pt
20位	1167658848 pt
300位	301276746 pt
2000位	52579814 pt
4000位	26840851 pt
10000位	6776399 pt
※02/13 00:00 集計時点のポイントですBY SKDN
