100位	19,038 pt
500位	6,099 pt
1200位	1,695 pt
1300位	1,474 pt
1000位	3,460 pt
1位	265,130 pt
10位	74,130 pt
11位	69,036 pt
20位	52,693 pt
300位	9,190 pt
1999位	500 pt
2000位	500 pt
2999位	0 pt
3000位	0 pt
3999位	0 pt
4000位	0 pt
4999位	0 pt
5000位	0 pt
9999位	0 pt
10000位	0 pt
15000位	0 pt
20000位	0 pt
ラウンジ1位	265,130 pt
ラウンジ10位	114,239 pt
ラウンジ11位	108,881 pt
ラウンジ20位	79,800 pt
ラウンジ30位	59,970 pt
ラウンジ100位	24,620 pt
ラウンジ300位	8,820 pt
ラウンジ1000位	500 pt
ラウンジ10位÷35	3,263.971
ラウンジ11位÷35	3,110.886
※09/07 12:11 集計時点のほからん
