

1位	1500000000000088269	釈迦堂	6339715
2位	500000000000004620	ぐんぶす@生涯下僕	6237436
3位	400000000000060652	いつき	3975713
4位	700000000000079998	あはら	3024760
5位	500000000000085845	まつきち	3013823
6位	100000000000008391	きくこ	2387965
7位	900000000000007424	モリリ	2241749
8位	1200000000000000854	らき☆缶P	2175194
9位	100000000000084406	すとん	2101261
10位	1200000000000006109	han@han	1980768

11位	1400000000000085736	こすを	1921039
12位	1300000000000099993	えびぞり。	1871172
13位	1500000000000047027	セツナ#	1830233
14位	300000000000049644	笑顔でサンキュー	1805656
15位	400000000000077887	しゃれあむ	1803164
16位	100000000000009115	cham1231	1743060
17位	199	コガラシ	1536928
18位	31010	しゃおらん@瑞希*昴*雪歩	1460800
19位	1500000000000000475	のり子.Inoguchi	1386183
20位	1500000000000036617	jerious	1307331

21位	700000000000098127	ケセラセラ	1273314
22位	900000000000095638	ユウセイ	1262264
23位	900000000000078647	みみ	1260463
24位	1400000000000000449	気分屋(●´ω｀●)	1247421
25位	900000000000074793	真庭の某さんP	1226530
26位	500000000000047584	へなち	1211695
27位	200000000000063347	あるぅ	1206196
28位	1000000000000001815	魚雷	1193360
29位	31529	ドラピッツ	1157772
30位	1200000000000051075	きぬんちゅ	1151674

31位	1200000000000001507	ばし	1151158
32位	700000000000081562	もじか	1146808
33位	1500000000000003922	狐太郎	1144505
34位	200000000000011027	taku	1132728
35位	1500000000000096315	オーシャン	1116015
36位	100000000000098042	凪太	1114742
37位	300000000000096855	紺碧	1100739
38位	1100000000000024024	おくさん	1052919
39位	200000000000077526	L.C.	1045123
40位	400000000000081742	スクラップ	1033292

41位	700000000000088253	カク00	1020586
42位	1685	ヒトデ	1018890
43位	1400000000000017184	なばかり長介	1017440
44位	85903	二条	1013525
45位	800000000000024541	elds	1012592
46位	400000000000076029	あざらしあこ	1005269
47位	1400000000000018426	高垣彩陽（本人）	956737
48位	400000000000086098	AAS	943332
49位	1100000000000011144	Ｋｏｚｚｙ	933212
50位	700000000000057048	HARTMAN08	932975

51位	400000000000058819	アカハタ	927619
52位	1000000000000093484	こうたん@青春するぞー！	920514
53位	1000000000000096709	yzdxm	918836
54位	700000000000075993	ザト	916306
55位	1500000000000029058	鳥井	909244
56位	1100000000000009481	ネット詐欺乙	900613
57位	1200000000000032449	ぜんぱす	895277
58位	500000000000072904	まいも	890884
59位	1400000000000006414	けいけい	886776
60位	600000000000098123	よもぎ	875156

61位	1400000000000002902	群咲	867780
62位	500000000000024375	カイドウ	865422
63位	1400000000000006910	ぱせり	832772
64位	400000000000000238	はるひっち	828220
65位	1200000000000053760	海木 利星	827683
66位	300000000000005169	えも	817408
67位	400000000000097333	かなこ	817074
68位	200000000000104214	ninomomo	802768
69位	1300000000000006391	NERO	801178
70位	1000000000000005940	S†S	799096

71位	800000000000094579	こるげん	793065
72位	100000000000009344	高本	789110
73位	600000000000100293	バサシ	777621
74位	400000000000015676	ケル	768939
75位	1200000000000053053	chihiro	768228
76位	300000000000074801	天華	766749
77位	1100000000000102430	璃花@台湾P	745794
78位	1400000000000042374	直心	743540
79位	832	フラムP	734674
80位	1100000000000095433	ヴォイテク二等兵	723029

81位	1500000000000000784	バルタンZ	720200
82位	600000000000074130	たかお	716456
83位	600000000000077573	四季	707442
84位	800000000000073773	subtle(さとる)	696974
85位	200000000000096982	むっく	696930
86位	1400000000000008596	谷岡P	696311
87位	1100000000000095631	テツ	696201
88位	100000000000092122	keit	689615
89位	1000000000000086802	つばーぷす	685280
90位	500000000000098097	まちおん	678358

91位	500000000000049386	雪風ブンブン	676296
92位	1000000000000007308	ひろゆき	674202
93位	1200000000000002482	もょもと兄@同僚募集中	672421
94位	300000000000102574	くもり	669555
95位	1500000000000007119	さのすけ＠相互埋め募集中	664370
96位	80337	Sally	657231
97位	400000000000001977	naonao	656682
98位	100000000000007688	松丼	652581
99位	1500000000000082264	poke	650751
100位	1000000000000042558	wizlilic09	646306

101位	1100000000000092966	yukipinbin	642890
102位	900000000000005302	御霞月	642265
103位	1400000000000075522	もんぴす	638934
104位	100000000000106096	アスド	635291
105位	1100000000000056842	藤枝	624131
106位	400000000000008200	みずっち	618930
107位	500000000000077741	とるた	618876
108位	900000000000044687	ぼつらく	617328
109位	1500000000000054492	カスタード	615900
110位	1300000000000093820	aki	611230

111位	200000000000027183	しろだい	603045
112位	800000000000025929	神尾 観鈴 / Bocci	593252
113位	600000000000081705	moo	592892
114位	800000000000039415	とらぽ(芝)	592227
115位	1300000000000031768	鼻毛紳士	583541
116位	1300000000000055441	アルゥ・アル・サーシェス	582307
117位	500000000000102904	あこ	572457
118位	300000000000055509	抹茶	572075
119位	600000000000048573	あやち	559986
120位	1000000000000097191	夢眠ねる	558969

121位	84087	坂本サトシ	556590
122位	900000000000050457	ぺたんこ	555030
123位	500000000000031889	まーくん	549218
124位	800000000000026981	sei	548632
125位	900000000000095306	ノリシオ	547221
126位	1100000000000061769	シャーベット	545447
127位	800000000000001257	リッド	544602
128位	1000000000000005295	ぶくろ	538189
129位	300000000000020355	euro	535952
130位	100000000000000656	しぃ	535911

131位	600000000000080129	なす	535641
132位	1100000000000050765	ポテマヨ	531734
133位	900000000000080059	こふきいも	531082
134位	1000000000000102316	ある	527460
135位	400000000000001371	ロジット	527429
136位	900000000000035786	おにぎり	525343
137位	600000000000030023	メジェド	524553
138位	600000000000003531	なのつき	523450
139位	800000000000012102	ＴＨＥ恋	519769
140位	1400000000000096914	士音	518893

141位	100608	緑膿桿菌@台湾P	518272
142位	1200000000000006006	福 (;´д｀)	517160
