100位	398036373 pt
500位	196109759 pt
1200位	59298144 pt
1300位	51082820 pt
1000位	80291084 pt
765位	116749159 pt
770位	115833768 pt
1位	2615654796 pt
10位	1043162739 pt
11位	901653912 pt
20位	708924294 pt
300位	260476719 pt
1999位	26036800 pt
2000位	26024414 pt
2999位	13771974 pt
3000位	13768873 pt
3999位	8129918 pt
4000位	8117388 pt
4999位	5177917 pt
5000位	5175719 pt
9999位	1108800 pt
10000位	1108800 pt
14999位	28800 pt
15000位	28800 pt
29999位	0 pt
30000位	0 pt
※07/18 16:55 集計時点のほからんBY SKDN
