100位	289553570 pt
500位	137880118 pt
1200位	48224814 pt
1300位	43633336 pt
1000位	60896023 pt
1位	2100144294 pt
10位	663706708 pt
11位	632556957 pt
20位	477495456 pt
700位	99849169 pt
765位	89080059 pt
770位	88524946 pt
300位	192268366 pt
1999位	24323110 pt
2000位	24308989 pt
2999位	14508889 pt
3000位	14503501 pt
3999位	9388800 pt
4000位	9384343 pt
4999位	6662404 pt
5000位	6662092 pt
9999位	1630784 pt
10000位	1629852 pt
15000位	374782 pt
20000位	9600 pt
30000位	0 pt
45000位	0 pt
※05/21 17:00 集計時点のポイントですBY SKDN
