100位	516765954 pt
500位	360450557 pt
1200位	101510114 pt
1300位	87001319 pt
1000位	134702495 pt
1位	4633478630 pt
10位	1174739634 pt
11位	1147200634 pt
20位	876296141 pt
700位	218263518 pt
765位	206074305 pt
770位	204645213 pt
300位	404904993 pt
1999位	46914830 pt
2000位	46911321 pt
2999位	28106789 pt
3000位	28105266 pt
3999位	19546184 pt
4000位	19540818 pt
4999位	14381831 pt
5000位	14381737 pt
9999位	3861063 pt
10000位	3859934 pt
15000位	1190045 pt
20000位	28800 pt
30000位	0 pt
45000位	0 pt
※05/24 16:05 集計時点のポイントですBY SKDN
