100位	547418184 pt
500位	369030056 pt
1200位	136758749 pt
1300位	118725927 pt
1000位	172740182 pt
1位	4842632105 pt
10位	1639739467 pt
11位	1581764286 pt
20位	916852625 pt
700位	249355373 pt
765位	234823715 pt
770位	234366909 pt
300位	422217354 pt
1999位	69412665 pt
2000位	69377795 pt
2999位	41421641 pt
3000位	41412572 pt
3999位	29003910 pt
4000位	28998756 pt
4999位	21599755 pt
5000位	21599012 pt
9999位	6267819 pt
10000位	6266812 pt
15000位	1909907 pt
20000位	80896 pt
30000位	0 pt
45000位	0 pt
※05/27 17:00 集計時点のポイントですBY SKDN
