100位	1,647,971 pt
500位	480,343 pt
1200位	167,817 pt
1300位	158,480 pt
1000位	205,131 pt
1位	12,518,829 pt
10位	5,393,238 pt
11位	5,155,481 pt
20位	3,608,983 pt
700位	344,187 pt
765位	312,212 pt
770位	308,819 pt
300位	810,703 pt
1999位	102,314 pt
2000位	102,212 pt
2999位	63,648 pt
3000位	63,622 pt
3999位	47,865 pt
4000位	47,851 pt
4999位	37,663 pt
5000位	37,654 pt
9999位	12,727 pt
10000位	12,725 pt
15000位	2,026 pt
20000位	0 pt
30000位	0 pt
※07/05 16:57 集計時点のポイントですBY SKDN
