100位	5,024,271 pt
500位	1,438,342 pt
1200位	608,462 pt
1300位	553,582 pt
1000位	769,879 pt
1位	90,586,466 pt
10位	15,201,643 pt
11位	15,032,436 pt
20位	11,115,430 pt
700位	1,123,610 pt
765位	1,032,721 pt
770位	1,025,058 pt
300位	2,188,475 pt
1999位	331,423 pt
2000位	331,337 pt
2999位	194,478 pt
3000位	194,393 pt
3999位	144,668 pt
4000位	144,616 pt
4999位	118,505 pt
5000位	118,491 pt
9999位	48,645 pt
10000位	48,638 pt
15000位	8,138 pt
20000位	0 pt
30000位	0 pt
※07/07 17:00 集計時点のポイントですBY SKDN
