100位	12,930,243 pt
500位	5,070,619 pt
1200位	2,155,001 pt
1300位	1,957,089 pt
1000位	2,609,541 pt
1位	264,820,612 pt
10位	63,440,399 pt
11位	62,005,795 pt
20位	27,000,750 pt
700位	3,787,774 pt
765位	3,463,176 pt
770位	3,428,491 pt
300位	6,884,522 pt
1999位	1,223,014 pt
2000位	1,222,880 pt
2999位	747,179 pt
3000位	746,791 pt
3999位	541,324 pt
4000位	541,004 pt
4999位	424,474 pt
5000位	424,438 pt
9999位	137,933 pt
10000位	137,905 pt
15000位	21,797 pt
20000位	528 pt
30000位	0 pt
※07/11 17:00 集計時点のポイントですBY SKDN
