100位	8,907,915 pt
500位	2,869,082 pt
1200位	1,261,922 pt
1300位	1,164,482 pt
1000位	1,490,428 pt
1位	184,239,211 pt
10位	27,735,636 pt
11位	27,181,952 pt
20位	20,150,532 pt
700位	2,026,939 pt
765位	1,871,289 pt
770位	1,858,275 pt
300位	4,306,833 pt
1999位	687,103 pt
2000位	686,790 pt
2999位	425,917 pt
3000位	425,569 pt
3999位	312,471 pt
4000位	312,352 pt
4999位	230,226 pt
5000位	230,161 pt
9999位	88,718 pt
10000位	88,716 pt
15000位	15,145 pt
20000位	355 pt
30000位	0 pt
※07/09 16:44 集計時点のポイントですBY SKDN
