100位	10,718,317 pt
500位	3,782,066 pt
1200位	1,604,532 pt
1300位	1,480,697 pt
1000位	1,926,482 pt
1位	245,650,698 pt
10位	43,261,608 pt
11位	40,122,619 pt
20位	23,502,242 pt
700位	2,712,887 pt
765位	2,462,859 pt
770位	2,447,452 pt
300位	5,446,297 pt
1999位	898,206 pt
2000位	897,872 pt
2999位	559,700 pt
3000位	559,637 pt
3999位	410,230 pt
4000位	410,137 pt
4999位	321,560 pt
5000位	321,470 pt
9999位	113,291 pt
10000位	113,273 pt
15000位	18,661 pt
20000位	401 pt
30000位	0 pt
※07/10 17:00 集計時点のポイントですBY SKDN
