100位	1,647,971 pt
500位	480,463 pt
1200位	168,172 pt
1300位	158,693 pt
1000位	205,573 pt
1位	12,518,829 pt
10位	5,393,238 pt
11位	5,155,481 pt
20位	3,608,983 pt
700位	345,562 pt
765位	314,096 pt
770位	309,519 pt
300位	810,703 pt
1999位	102,456 pt
2000位	102,428 pt
2999位	63,832 pt
3000位	63,821 pt
3999位	47,920 pt
4000位	47,902 pt
4999位	37,735 pt
5000位	37,719 pt
9999位	12,747 pt
10000位	12,746 pt
15000位	2,026 pt
20000位	0 pt
30000位	0 pt
※07/05 17:00 集計時点のポイントですBY SKDN
