100位	104,926 pt
500位	27,118 pt
1200位	10,370 pt
1300位	9,199 pt
1000位	12,939 pt
1位	893,521 pt
10位	366,584 pt
11位	352,588 pt
20位	276,641 pt
300位	44,105 pt
1999位	4,924 pt
2000位	4,920 pt
2999位	2,180 pt
3000位	2,180 pt
3999位	1,050 pt
4000位	1,050 pt
4999位	209 pt
5000位	203 pt
9999位	0 pt
10000位	0 pt
15000位	0 pt
20000位	0 pt
ラウンジ1位	1,385,581 pt
ラウンジ10位	572,159 pt
ラウンジ11位	580,262 pt
ラウンジ20位	468,979 pt
ラウンジ30位	357,498 pt
ラウンジ100位	133,530 pt
ラウンジ300位	38,860 pt
ラウンジ1000位	5,810 pt
ラウンジ10位÷35	16,347 pt
ラウンジ11位÷35	16,579 pt
※09/07 12:32 集計時点のほからん
