100位	162,708 pt
500位	41,200 pt
1200位	14,640 pt
1300位	13,020 pt
1000位	18,350 pt
1位	3,837,287 pt
10位	560,490 pt
11位	538,758 pt
20位	409,940 pt
300位	66,968 pt
1999位	7,350 pt
2000位	7,350 pt
2999位	3,634 pt
3000位	3,628 pt
3999位	1,610 pt
4000位	1,610 pt
4999位	680 pt
5000位	680 pt
9999位	0 pt
10000位	0 pt
15000位	0 pt
20000位	0 pt
ラウンジ1位	8,826,781 pt
ラウンジ10位	836,750 pt
ラウンジ11位	805,679 pt
ラウンジ20位	570,735 pt
ラウンジ30位	443,045 pt
ラウンジ100位	183,890 pt
ラウンジ300位	57,900 pt
ラウンジ1000位	8,430 pt
ラウンジ10位÷35	23,907 pt
ラウンジ11位÷35	23,019 pt
※09/07 12:40 集計時点のほからん
