100位	987148875 pt
500位	530147163 pt
1200位	319810437 pt
1300位	197947765 pt
1000位	325986148 pt
765位	338751240 pt
770位	338056696 pt
1位	3529129862 pt
10位	1938192970 pt
11位	1592148851 pt
20位	1146515745 pt
300位	572982244 pt
2000位	89070375 pt
4000位	38115940 pt
10000位	8862766 pt
※01/19 00:00 集計時点のポイントですBY SKDN
