100位	53641237 pt
500位	9116607 pt
1200位	3188298 pt
1300位	2915090 pt
1000位	3896390 pt
765位	5133270 pt
770位	5095810 pt
1位	1221654046 pt
10位	180890949 pt
11位	178507846 pt
20位	111896165 pt
300位	16170901 pt
1999位	1723000 pt
2000位	1722300 pt
2999位	992520 pt
3000位	992410 pt
3999位	681520 pt
4000位	681430 pt
4999位	496680 pt
5000位	496590 pt
9999位	168720 pt
10000位	168640 pt
14999位	50640 pt
15000位	50560 pt
29999位	0 pt
30000位	0 pt
※06/15 16:59 集計時点のほからんBY SKDN
