100位	200741514 pt
500位	83646111 pt
1200位	45918203 pt
1300位	37026357 pt
1000位	52157006 pt
765位	61545271 pt
770位	61261172 pt
1位	1574500609 pt
10位	503033035 pt
11位	375000000 pt
20位	265579056 pt
300位	108717269 pt
1999位	22480226 pt
2000位	22480158 pt
2999位	13846128 pt
3000位	13844413 pt
3999位	10691452 pt
4000位	10690798 pt
4999位	7906324 pt
5000位	7905793 pt
9999位	2095520 pt
10000位	2095100 pt
14999位	403840 pt
15000位	403430 pt
29999位	0 pt
30000位	0 pt
※06/21 23:53 集計時点のほからんBY SKDN
