100位	144551039 pt
500位	70278836 pt
1200位	27463844 pt
1300位	24477396 pt
1000位	36503575 pt
765位	48544897 pt
770位	48037937 pt
1位	1569887853 pt
10位	498640662 pt
11位	375000000 pt
20位	257728487 pt
300位	88319168 pt
1999位	13414219 pt
2000位	13412902 pt
2999位	8059939 pt
3000位	8053881 pt
3999位	5547160 pt
4000位	5546021 pt
4999位	4022100 pt
5000位	4021930 pt
9999位	1310736 pt
10000位	1310670 pt
14999位	311840 pt
15000位	311760 pt
29999位	0 pt
30000位	0 pt
※06/21 08:15 集計時点のほからんBY SKDN
