100位	128254677 pt
500位	63380753 pt
1200位	16222812 pt
1300位	13775676 pt
1000位	22067960 pt
765位	32217404 pt
770位	31756787 pt
1位	1464279089 pt
10位	486122789 pt
11位	327592961 pt
20位	228189106 pt
300位	77245417 pt
1999位	7057265 pt
2000位	7055616 pt
2999位	4303130 pt
3000位	4302660 pt
3999位	2997660 pt
4000位	2996280 pt
4999位	2258708 pt
5000位	2258364 pt
9999位	811880 pt
10000位	811570 pt
14999位	223280 pt
15000位	223270 pt
29999位	0 pt
30000位	0 pt
※06/19 16:59 集計時点のほからんBY SKDN
