100位	575753154 pt
500位	238913595 pt
1200位	196688834 pt
1300位	132097595 pt
1000位	202485941 pt
765位	206749951 pt
770位	206696189 pt
1位	3450000000 pt
10位	1875101185 pt
11位	1458557932 pt
20位	735619100 pt
300位	278219854 pt
2000位	52157387 pt
4000位	24254497 pt
250位	282171318 pt
400位	245371829 pt
600位	216008181 pt
10000位	7056850 pt
※04/10 00:00 集計時点のポイントですBY SKDN
