100位	304392244 pt
500位	142746504 pt
1200位	43653283 pt
1300位	38484433 pt
1000位	58259325 pt
765位	87909227 pt
770位	87316451 pt
1位	2007707305 pt
10位	768239351 pt
11位	718053901 pt
20位	523290602 pt
300位	199635270 pt
1999位	19582443 pt
2000位	19535598 pt
2999位	9737345 pt
3000位	9731850 pt
3999位	5455706 pt
4000位	5454481 pt
4999位	3550710 pt
5000位	3549662 pt
9999位	676800 pt
10000位	676800 pt
14999位	15996 pt
15000位	15966 pt
29999位	0 pt
30000位	0 pt
※07/17 16:58 集計時点のほからんBY SKDN
