100位	542133365 pt
500位	424097678 pt
1200位	96144564 pt
1300位	82964122 pt
1000位	135302306 pt
765位	211336274 pt
770位	209386679 pt
1位	3531137990 pt
10位	1491329114 pt
11位	1303349392 pt
20位	828492247 pt
300位	461849339 pt
1999位	39688180 pt
2000位	39636680 pt
2999位	21828055 pt
3000位	21796320 pt
3999位	13253822 pt
4000位	13253685 pt
4999位	8673164 pt
5000位	8667313 pt
9999位	1916456 pt
10000位	1916415 pt
14999位	88288 pt
15000位	88063 pt
29999位	0 pt
30000位	0 pt
※07/20 16:01 集計時点のほからんBY SKDN
