100位	304041855 pt
500位	140145564 pt
1200位	43283206 pt
1300位	38077204 pt
1000位	57501502 pt
765位	87662062 pt
770位	86911097 pt
1位	1990097816 pt
10位	765536348 pt
11位	717843431 pt
20位	523290602 pt
300位	197648671 pt
1999位	19335330 pt
2000位	19333616 pt
2999位	9660336 pt
3000位	9657799 pt
3999位	5385791 pt
4000位	5384550 pt
4999位	3499856 pt
5000位	3499071 pt
9999位	673243 pt
10000位	673091 pt
14999位	15121 pt
15000位	15020 pt
29999位	0 pt
30000位	0 pt
※07/17 16:27 集計時点のほからんBY SKDN
