100位	887879125 pt
500位	489952527 pt
1200位	259940587 pt
1300位	178417613 pt
1000位	276912442 pt
765位	299940336 pt
770位	298431972 pt
1位	5999811246 pt
10位	2232070490 pt
11位	1777067352 pt
20位	1107694653 pt
300位	533408565 pt
1999位	105655209 pt
2000位	105641836 pt
2999位	52075419 pt
3000位	52060780 pt
3999位	35016425 pt
4000位	35014266 pt
4999位	23506737 pt
5000位	23504126 pt
9999位	4760038 pt
10000位	4759744 pt
14999位	345140 pt
15000位	344237 pt
29999位	0 pt
30000位	0 pt
※07/25 23:52 集計時点のほからんBY SKDN
