100位	191323086 pt
500位	78757629 pt
1200位	26194514 pt
1300位	23180372 pt
1000位	33822644 pt
765位	48223360 pt
770位	47921956 pt
1位	1262910046 pt
10位	441067401 pt
11位	407485437 pt
20位	364033658 pt
300位	113558902 pt
1999位	10993166 pt
2000位	10987480 pt
2999位	5108208 pt
3000位	5092800 pt
3999位	2927283 pt
4000位	2927231 pt
4999位	2017564 pt
5000位	2016933 pt
9999位	246589 pt
10000位	246556 pt
14999位	8655 pt
15000位	8602 pt
29999位	0 pt
30000位	0 pt
※07/16 17:00 集計時点のほからんBY SKDN
