100位	893980704 pt
500位	490266292 pt
1200位	263134078 pt
1300位	179028079 pt
1000位	278188416 pt
765位	299989912 pt
770位	298431972 pt
1位	6012004235 pt
10位	2232870490 pt
11位	1777067352 pt
20位	1111290800 pt
300位	534338439 pt
1999位	106341243 pt
2000位	106330435 pt
2999位	52313860 pt
3000位	52248077 pt
3999位	35233053 pt
4000位	35227710 pt
4999位	23517893 pt
5000位	23511781 pt
9999位	4782496 pt
10000位	4781457 pt
14999位	345313 pt
15000位	345140 pt
29999位	0 pt
30000位	0 pt
※07/25 23:55 集計時点のほからんBY SKDN
