100位	546359909 pt
500位	459906418 pt
1200位	97476435 pt
1300位	83683464 pt
1000位	140390792 pt
765位	219931511 pt
770位	216935316 pt
1位	3540176626 pt
10位	1592414682 pt
11位	1567673880 pt
20位	830152809 pt
300位	478042499 pt
1999位	39979101 pt
2000位	39965885 pt
2999位	21961901 pt
3000位	21961755 pt
3999位	13343412 pt
4000位	13342689 pt
4999位	8770126 pt
5000位	8765968 pt
9999位	1925986 pt
10000位	1924800 pt
14999位	90690 pt
15000位	90420 pt
29999位	0 pt
30000位	0 pt
※07/20 16:56 集計時点のほからんBY SKDN
