100位	210531860 pt
500位	160740630 pt
1200位	148033230 pt
1300位	135362130 pt
1000位	151347070 pt
765位	154679235 pt
770位	154577370 pt
1位	1577221180 pt
10位	399635195 pt
11位	367104635 pt
20位	257979810 pt
300位	173989655 pt
2000位	42340865 pt
4000位	19295040 pt
250位	176780305 pt
400位	170863605 pt
600位	157389060 pt
10000位	7172340 pt
※03/16 00:00 集計時点のポイントですBY SKDN
