チーム所恵美2位	247621 pt
チーム所恵美3位	243745 pt
チーム所恵美4位	229188 pt
チーム所恵美5位	220158 pt
チーム所恵美6位	198252 pt
チーム所恵美7位	181250 pt
チーム所恵美8位	171236 pt
チーム所恵美9位	170481 pt
チーム所恵美10位	157287 pt
チーム所恵美11位	148049 pt
チーム所恵美12位	144241 pt
チーム所恵美13位	143486 pt
チーム所恵美14位	128198 pt
チーム所恵美15位	126053 pt
チーム所恵美16位	122106 pt
チーム所恵美17位	114145 pt
チーム所恵美18位	112330 pt
チーム所恵美19位	110089 pt
チーム所恵美20位	106697 pt
チーム所恵美21位	100280 pt
チーム所恵美22位	96806 pt
チーム所恵美23位	95424 pt
チーム所恵美24位	89340 pt
チーム所恵美25位	87185 pt
チーム所恵美26位	85534 pt
チーム所恵美27位	84454 pt
チーム所恵美28位	83357 pt
チーム所恵美29位	77505 pt
チーム所恵美30位	77403 pt
チーム徳川まつり1位	229313 pt
チーム徳川まつり2位	217295 pt
チーム徳川まつり3位	211102 pt
チーム徳川まつり4位	193712 pt
チーム徳川まつり5位	158156 pt
チーム徳川まつり6位	134148 pt
チーム徳川まつり7位	120844 pt
チーム徳川まつり8位	97465 pt
チーム徳川まつり9位	93297 pt
チーム徳川まつり10位	93254 pt
チーム徳川まつり11位	79472 pt
チーム徳川まつり12位	67202 pt
チーム徳川まつり13位	64151 pt
チーム徳川まつり14位	55492 pt
チーム徳川まつり15位	54003 pt
チーム徳川まつり16位	53295 pt
チーム徳川まつり17位	52342 pt
チーム徳川まつり18位	45779 pt
チーム徳川まつり19位	44829 pt
チーム徳川まつり20位	41201 pt
チーム徳川まつり21位	40846 pt
チーム徳川まつり22位	40591 pt
チーム徳川まつり23位	39684 pt
チーム徳川まつり24位	36578 pt
チーム徳川まつり25位	36019 pt
チーム徳川まつり26位	35550 pt
チーム徳川まつり27位	35543 pt
チーム徳川まつり28位	34011 pt
チーム徳川まつり29位	33285 pt
チーム徳川まつり30位	31571 pt
チーム箱崎星梨花1位	529831 pt
チーム箱崎星梨花2位	485119 pt
チーム箱崎星梨花3位	214873 pt
チーム箱崎星梨花4位	187454 pt
チーム箱崎星梨花5位	179714 pt
チーム箱崎星梨花6位	172141 pt
チーム箱崎星梨花7位	165290 pt
チーム箱崎星梨花8位	157610 pt
チーム箱崎星梨花9位	155444 pt
チーム箱崎星梨花10位	145738 pt
チーム箱崎星梨花11位	138975 pt
チーム箱崎星梨花12位	136262 pt
チーム箱崎星梨花13位	130106 pt
チーム箱崎星梨花14位	124326 pt
チーム箱崎星梨花15位	123962 pt
チーム箱崎星梨花16位	115202 pt
チーム箱崎星梨花17位	114161 pt
チーム箱崎星梨花18位	104629 pt
チーム箱崎星梨花19位	103451 pt
チーム箱崎星梨花20位	96341 pt
チーム箱崎星梨花21位	93377 pt
チーム箱崎星梨花22位	91362 pt
チーム箱崎星梨花23位	85221 pt
チーム箱崎星梨花24位	75413 pt
チーム箱崎星梨花25位	66450 pt
チーム箱崎星梨花26位	64849 pt
チーム箱崎星梨花27位	63934 pt
チーム箱崎星梨花28位	60421 pt
チーム箱崎星梨花29位	58579 pt
チーム箱崎星梨花30位	57114 pt
チーム野々原茜1位	241030 pt
チーム野々原茜2位	130085 pt
チーム野々原茜3位	94910 pt
チーム野々原茜4位	93603 pt
チーム野々原茜5位	93085 pt
チーム野々原茜6位	84038 pt
チーム野々原茜7位	82416 pt
チーム野々原茜8位	77496 pt
チーム野々原茜9位	70366 pt
チーム野々原茜10位	66130 pt
チーム野々原茜11位	63434 pt
チーム野々原茜12位	62741 pt
チーム野々原茜13位	55763 pt
チーム野々原茜14位	53393 pt
チーム野々原茜15位	52144 pt
チーム野々原茜16位	51448 pt
チーム野々原茜17位	51284 pt
チーム野々原茜18位	45380 pt
チーム野々原茜19位	45048 pt
チーム野々原茜20位	44951 pt
チーム野々原茜21位	44949 pt
チーム野々原茜22位	42974 pt
チーム野々原茜23位	41426 pt
チーム野々原茜24位	40467 pt
チーム野々原茜25位	39826 pt
チーム野々原茜26位	38576 pt
チーム野々原茜27位	35962 pt
チーム野々原茜28位	35013 pt
チーム野々原茜29位	34359 pt
チーム野々原茜30位	32497 pt
チーム望月杏奈1位	1811391 pt
チーム望月杏奈2位	946154 pt
チーム望月杏奈3位	452929 pt
チーム望月杏奈4位	447014 pt
チーム望月杏奈5位	442921 pt
チーム望月杏奈6位	408275 pt
チーム望月杏奈7位	405826 pt
チーム望月杏奈8位	235929 pt
チーム望月杏奈9位	213832 pt
チーム望月杏奈10位	213556 pt
チーム望月杏奈11位	198300 pt
チーム望月杏奈12位	186050 pt
チーム望月杏奈13位	181807 pt
チーム望月杏奈14位	179249 pt
チーム望月杏奈15位	171270 pt
チーム望月杏奈16位	150008 pt
チーム望月杏奈17位	148730 pt
チーム望月杏奈18位	147488 pt
チーム望月杏奈19位	146378 pt
チーム望月杏奈20位	145218 pt
チーム望月杏奈21位	143430 pt
チーム望月杏奈22位	141427 pt
チーム望月杏奈23位	137110 pt
チーム望月杏奈24位	127803 pt
チーム望月杏奈25位	123164 pt
チーム望月杏奈26位	122003 pt
チーム望月杏奈27位	117071 pt
チーム望月杏奈28位	109221 pt
チーム望月杏奈29位	106308 pt
チーム望月杏奈30位	105921 pt
チーム七尾百合子1位	334972 pt
チーム七尾百合子2位	292488 pt
チーム七尾百合子3位	260798 pt
チーム七尾百合子4位	256936 pt
チーム七尾百合子5位	216176 pt
チーム七尾百合子6位	203353 pt
チーム七尾百合子7位	198834 pt
チーム七尾百合子8位	192154 pt
チーム七尾百合子9位	183184 pt
チーム七尾百合子10位	166586 pt
チーム七尾百合子11位	154330 pt
チーム七尾百合子12位	141559 pt
チーム七尾百合子13位	140454 pt
チーム七尾百合子14位	127300 pt
チーム七尾百合子15位	126614 pt
チーム七尾百合子16位	122729 pt
チーム七尾百合子17位	117533 pt
チーム七尾百合子18位	114861 pt
チーム七尾百合子19位	109787 pt
チーム七尾百合子20位	105664 pt
チーム七尾百合子21位	105261 pt
チーム七尾百合子22位	96385 pt
チーム七尾百合子23位	79832 pt
チーム七尾百合子24位	79164 pt
チーム七尾百合子25位	78522 pt
チーム七尾百合子26位	74702 pt
チーム七尾百合子27位	73910 pt
チーム七尾百合子28位	71042 pt
チーム七尾百合子29位	70264 pt
チーム七尾百合子30位	63456 pt
チーム高山紗代子1位	838021 pt
チーム高山紗代子2位	664403 pt
チーム高山紗代子3位	373179 pt
チーム高山紗代子4位	294147 pt
チーム高山紗代子5位	293932 pt
チーム高山紗代子6位	265720 pt
チーム高山紗代子7位	227830 pt
チーム高山紗代子8位	202444 pt
チーム高山紗代子9位	198267 pt
チーム高山紗代子10位	181561 pt
チーム高山紗代子11位	169347 pt
チーム高山紗代子12位	150219 pt
チーム高山紗代子13位	136569 pt
チーム高山紗代子14位	118518 pt
チーム高山紗代子15位	109743 pt
チーム高山紗代子16位	104795 pt
チーム高山紗代子17位	102483 pt
チーム高山紗代子18位	101929 pt
チーム高山紗代子19位	101061 pt
チーム高山紗代子20位	99691 pt
チーム高山紗代子21位	88790 pt
チーム高山紗代子22位	88026 pt
チーム高山紗代子23位	86723 pt
チーム高山紗代子24位	85446 pt
チーム高山紗代子25位	82274 pt
チーム高山紗代子26位	76329 pt
チーム高山紗代子27位	71484 pt
チーム高山紗代子28位	70842 pt
チーム高山紗代子29位	70838 pt
チーム高山紗代子30位	68506 pt
チーム松田亜利沙1位	315251 pt
チーム松田亜利沙2位	255940 pt
チーム松田亜利沙3位	219895 pt
チーム松田亜利沙4位	158130 pt
