100位	918731613 pt
500位	606327047 pt
1200位	243828941 pt
1300位	136740540 pt
1000位	261942478 pt
765位	306950428 pt
770位	305588118 pt
1位	7164670737 pt
10位	3129980289 pt
11位	2986349908 pt
20位	1241578135 pt
300位	651236808 pt
2000位	78821387 pt
4000位	31525223 pt
10000位	6371990 pt
※02/27 00:00 集計時点のポイントですBY SKDN
