100位	459834616 pt
500位	251211916 pt
1200位	74060247 pt
1300位	63458102 pt
1000位	97578315 pt
765位	146786735 pt
770位	144737327 pt
1位	2857927745 pt
10位	1280795614 pt
11位	937427019 pt
20位	769324285 pt
300位	331496080 pt
1999位	32466432 pt
2000位	32439254 pt
2999位	17604375 pt
3000位	17600714 pt
3999位	10691402 pt
4000位	10688925 pt
4999位	6776333 pt
5000位	6768533 pt
9999位	1527271 pt
10000位	1526868 pt
14999位	50210 pt
15000位	50151 pt
29999位	0 pt
30000位	0 pt
※07/19 16:16 集計時点のほからんBY SKDN
