100位	902686101 pt
500位	492155063 pt
1200位	267323183 pt
1300位	179697807 pt
1000位	280130430 pt
765位	300043620 pt
770位	299238617 pt
1位	6028827946 pt
10位	2273755711 pt
11位	1777067352 pt
20位	1112173785 pt
300位	536229369 pt
1999位	108419285 pt
2000位	108400881 pt
2999位	52679042 pt
3000位	52661946 pt
3999位	35515860 pt
4000位	35513485 pt
4999位	23724850 pt
5000位	23713468 pt
9999位	4816350 pt
10000位	4815425 pt
14999位	348736 pt
15000位	348649 pt
29999位	0 pt
30000位	0 pt
※07/26 14:00 集計時点のほからんBY SKDN
