100位	311667574 pt
500位	251186399 pt
1200位	54833477 pt
1300位	46055598 pt
1000位	87598539 pt
1位	3456476385 pt
10位	863371952 pt
11位	812946309 pt
20位	597709656 pt
700位	132554046 pt
765位	114913968 pt
770位	113373858 pt
300位	267854019 pt
1999位	23184433 pt
2000位	23160415 pt
2999位	12829940 pt
3000位	12824824 pt
3999位	7854480 pt
4000位	7847006 pt
4999位	5194926 pt
5000位	5194111 pt
9999位	1042857 pt
10000位	1042805 pt
15000位	178822 pt
20000位	2753 pt
30000位	0 pt
45000位	0 pt
※06/03 16:36 集計時点のポイントですBY SKDN
