100位	326284725 pt
500位	272462503 pt
1200位	55177276 pt
1300位	46814545 pt
1000位	96351676 pt
1位	3512571790 pt
10位	872107659 pt
11位	863371952 pt
20位	597709656 pt
700位	135623110 pt
765位	116399796 pt
770位	115679685 pt
300位	280838640 pt
1999位	23381826 pt
2000位	23343486 pt
2999位	13015908 pt
3000位	13009045 pt
3999位	7901055 pt
4000位	7898300 pt
4999位	5236440 pt
5000位	5234152 pt
9999位	1050631 pt
10000位	1050061 pt
15000位	181132 pt
20000位	2795 pt
30000位	0 pt
45000位	0 pt
※06/03 17:00 集計時点のポイントですBY SKDN
