100位	330270568 pt
500位	272725743 pt
1200位	57049767 pt
1300位	48004442 pt
1000位	97843490 pt
1位	3587892899 pt
10位	897968919 pt
11位	877404737 pt
20位	600652829 pt
700位	138255059 pt
765位	119045593 pt
770位	117242786 pt
300位	282012140 pt
1999位	24168410 pt
2000位	24118818 pt
2999位	13422995 pt
3000位	13408948 pt
3999位	8193175 pt
4000位	8192556 pt
4999位	5515157 pt
5000位	5514269 pt
9999位	1106198 pt
10000位	1106105 pt
15000位	195382 pt
20000位	3037 pt
30000位	0 pt
45000位	0 pt
※06/03 19:53 集計時点のポイントですBY SKDN
