2/9/2014 12:00:00	
1200位	1175347 pt
※02/09（日） 18:29 集計時点のポイントです	
	
1位	31708563 pt
100位	3445733 pt
1200位	1176780 pt
※02/09（日） 18:30 集計時点のポイントです]	
	
	
1位	31855127 pt
100位	3490878 pt
1200位	1186900 pt
※02/09（日） 18:39 集計時点のポイントです	
	
1位	31873972 pt
100位	3494604 pt
1200位	1187757 pt
※02/09（日） 18:40 集計時点のポイントです	
	
1位	31930871 pt
100位	3494604 pt
1200位	1193788 pt
※02/09（日） 18:42 集計時点のポイントです	
	
1位	31982687 pt
100位	3494604 pt
1200位	1197736 pt
※02/09（日） 18:44 集計時点のポイントです	
	
1位	32016086 pt
100位	3494604 pt
1200位	1200571 pt
※02/09（日） 18:45 集計時点のポイントです	
	
1位	32034996 pt
100位	3494604 pt
1200位	1200571 pt
※02/09（日） 18:46 集計時点のポイントです	
	
1位	32058527 pt
100位	3494604 pt
1200位	1200891 pt
※02/09（日） 18:47 集計時点のポイントです	
	
1位	32117381 pt
100位	3494604 pt
1200位	1201337 pt
※02/09（日） 18:49 集計時点のポイントです	
	
1位	32152725 pt
100位	3494604 pt
1200位	1202414 pt
※02/09（日） 18:50 集計時点のポイントです	
	
1位	32184357 pt
100位	3500847 pt
1200位	1204406 pt
※02/09（日） 18:51 集計時点のポイントです	
	
1位	32215256 pt
100位	3500847 pt
1200位	1206108 pt
※02/09（日） 18:52 集計時点のポイントです	
	
	
1位	32240983 pt
100位	3508879 pt
1200位	1207989 pt
※02/09（日） 18:53 集計時点のポイントです	
	
1位	32278763 pt
100位	3508879 pt
1200位	1209270 pt
※02/09（日） 18:54 集計時点のポイントです	
	
1位	32307109 pt
100位	3508879 pt
1200位	1209703 pt
※02/09（日） 18:55 集計時点のポイントです	
	
1位	32340254 pt
100位	3508879 pt
1200位	1209703 pt
※02/09（日） 18:56 集計時点のポイントです	
	
1位	32371038 pt
100位	3514430 pt
1200位	1210031 pt
※02/09（日） 18:57 集計時点のポイントです	
	
1位	32401868 pt
100位	3519536 pt
1200位	1211670 pt
※02/09（日） 18:58 集計時点のポイントです	
	
1位	32437119 pt
100位	3519536 pt
1200位	1211670 pt
※02/09（日） 18:59 集計時点のポイントです	

2/9/2014 22:00:00	
1位	34750134 pt
100位	3806536 pt
1200位	1543237 pt
※02/10（月） 00:01 集計時点のポイントです	

1位	32464665 pt
100位	3536188 pt
1200位	1213617 pt
※02/09（日） 22:04 集計時点のポイントで	
	
1位	32464665 pt
100位	3536842 pt
1200位	1213617 pt
※02/09（日） 22:05 集計時点のポイントです	
	
1位	32530777 pt
100位	3553867 pt
1200位	1217510 pt
※02/09（日） 22:09 集計時点のポイントで	
	
1位	32549746 pt
100位	3555496 pt
1200位	1217617 pt
※02/09（日） 22:10 集計時点のポイントです	
	
1位	32585322 pt
100位	3565822 pt
1200位	1222537 pt
※02/09（日） 22:12 集計時点のポイントです	
	
1位	32620757 pt
100位	3567739 pt
1200位	1227120 pt
※02/09（日） 22:14 集計時点のポイントです	
	
1位	32627930 pt
100位	3568068 pt
1200位	1227151 pt
※02/09（日） 22:15 集計時点のポイントで	
	
	
1位	32680017 pt
100位	3569239 pt
1200位	1230994 pt
※02/09（日） 22:18 集計時点のポイントです	
	
	
1位	32703810 pt
100位	3569239 pt
1200位	1232485 pt
※02/09（日） 22:19 集計時点のポイントです	
	
	
1位	32720508 pt
100位	3569239 pt
1200位	1232803 pt
※02/09（日） 22:20 集計時点のポイントです	
	
	
1位	32734849 pt
100位	3569239 pt
1200位	1233708 pt
※02/09（日） 22:21 集計時点のポイントです	
	
1位	32744328 pt
100位	3569239 pt
1200位	1235549 pt
※02/09（日） 22:22 集計時点のポイントです	
	
	
1位	32763170 pt
100位	3571412 pt
1200位	1240478 pt
※02/09（日） 22:23 集計時点のポイントです	
	
1位	32779632 pt
100位	3575345 pt
1200位	1243374 pt
※02/09（日） 22:24 集計時点のポイントです	
	
1位	32805849 pt
100位	3588113 pt
1200位	1244345 pt
※02/09（日） 22:25 集計時点のポイントです	
	
1位	32824879 pt
100位	3588113 pt
1200位	1246099 pt
※02/09（日） 22:26 集計時点のポイントです	
	
1位	32839247 pt
100位	3590320 pt
1200位	1250143 pt
※02/09（日） 22:27 集計時点のポイントです	
	
1位	32851132 pt
100位	3590320 pt
1200位	1251879 pt
※02/09（日） 22:28 集計時点のポイントです	
	
1位	32877179 pt
100位	3592541 pt
1200位	1253397 pt
※02/09（日） 22:29 集計時点のポイントです	
	
1位	32893796 pt
100位	3596987 pt
1200位	1256790 pt
※02/09（日） 22:30 集計時点のポイントです	
	
1位	32988306 pt
100位	3616075 pt
1200位	1266810 pt
※02/09（日） 22:34 集計時点のポイントです	
	
1位	33011998 pt
100位	3624514 pt
1200位	1272363 pt
※02/09（日） 22:35 集計時点のポイントです	
	
1位	33030941 pt
100位	3629687 pt
1200位	1275272 pt
※02/09（日） 22:36 集計時点のポイントです	
	
	
1位	33071012 pt
100位	3633262 pt
1200位	1288823 pt
※02/09（日） 22:38 集計時点のポイントです	
	
	
1位	33092359 pt
100位	3633262 pt
1200位	1293012 pt
※02/09（日） 22:39 集計時点のポイントです	
	
	
1位	33117060 pt
100位	3633262 pt
1200位	1295582 pt
※02/09（日） 22:40 集計時点のポイントです	
	
1位	33143193 pt
100位	3633262 pt
1200位	1298304 pt
※02/09（日） 22:41 集計時点のポイントです	
	
1位	33162311 pt
100位	3635293 pt
1200位	1299920 pt
※02/09（日） 22:42 集計時点のポイントです	
	
1位	33231212 pt
100位	3635538 pt
1200位	1302946 pt
※02/09（日） 22:45 集計時点のポイントです	
	
	
1位	33280852 pt
100位	3648149 pt
1200位	1306306 pt
※02/09（日） 22:47 集計時点のポイントです	
	
1位	33316297 pt
100位	3655612 pt
1200位	1314823 pt
※02/09（日） 22:49 集計時点のポイントです	
	
位	33335301 pt
100位	3656348 pt
1200位	1319363 pt
※02/09（日） 22:50 集計時点のポイントです	
	
1位	33378409 pt
100位	3668040 pt
1200位	1328671 pt
※02/09（日） 22:52 集計時点のポイントです	
	
	
1位	33404559 pt
100位	3670252 pt
1200位	1331265 pt
※02/09（日） 22:53 集計時点のポイントです	
	
	
1位	33430732 pt
100位	3670252 pt
1200位	1333351 pt
※02/09（日） 22:54 集計時点のポイントです	
	
	
1位	33480651 pt
100位	3670252 pt
1200位	1335664 pt
※02/09（日） 22:56 集計時点のポイントです	
	
1位	33537582 pt
100位	3670252 pt
1200位	1344154 pt
※02/09（日） 22:59 集計時点のポイントです	
	
	
1位	33558803 pt
100位	3670252 pt
1200位	1346299 pt
※02/09（日） 23:00 集計時点のポイントです	
	
1位	33579997 pt
100位	3670252 pt
1200位	1351188 pt
※02/09（日） 23:02 集計時点のポイントです	
	
1位	33618107 pt
100位	3670252 pt
1200位	1359512 pt
※02/09（日） 23:04 集計時点のポイントです	
	
1位	33642011 pt
100位	3670252 pt
1200位	1364043 pt
※02/09（日） 23:05 集計時点のポイントです	
	
	
1位	33727347 pt
100位	3670252 pt
1200位	1379482 pt
※02/09（日） 23:09 集計時点のポイントです	
	
	
1位	33751102 pt
100位	3670252 pt
1200位	1382597 pt
※02/09（日） 23:10 集計時点のポイントです	
	
	
1位	33805676 pt
100位	3670252 pt
1200位	1391402 pt
※02/09（日） 23:12 集計時点のポイントです	
	
	
1位	33869816 pt
100位	3674875 pt
1200位	1398716 pt
※02/09（日） 23:14 集計時点のポイントです	
	
1位	33919686 pt
100位	3689777 pt
1200位	1401711 pt
※02/09（日） 23:16 集計時点のポイントです	
	
1位	33974355 pt
100位	3689777 pt
1200位	1407972 pt
※02/09（日） 23:18 集計時点のポイントです	
	
	
1位	33990945 pt
100位	3689777 pt
1200位	1409762 pt
※02/09（日） 23:19 集計時点のポイントです	
	
	
1位	34017029 pt
100位	3689777 pt
1200位	1411760 pt
※02/09（日） 23:20 集計時点のポイントです	
	
1位	34033656 pt
100位	3689777 pt
1200位	1415574 pt
※02/09（日） 23:21 集計時点のポイントです	
	
	
1位	34064721 pt
100位	3699012 pt
1200位	1419582 pt
※02/09（日） 23:22 集計時点のポイントです	
	
1位	34086052 pt
100位	3702645 pt
1200位	1424441 pt
※02/09（日） 23:23 集計時点のポイントです	
	
1位	34114553 pt
100位	3702645 pt
1200位	1426735 pt
※02/09（日） 23:24 集計時点のポイントです	
	
1位	34142790 pt
100位	3704723 pt
1200位	1431978 pt
※02/09（日） 23:25 集計時点のポイントです	
	
1位	34166616 pt
100位	3704723 pt
1200位	1435215 pt
※02/09（日） 23:26 集計時点のポイントです	
	
1位	34185640 pt
100位	3704723 pt
1200位	1435857 pt
※02/09（日） 23:27 集計時点のポイントです	
	
1位	34209172 pt
100位	3704723 pt
1200位	1442560 pt
※02/09（日） 23:28 集計時点のポイントです	
	
1位	34232922 pt
100位	3704723 pt
1200位	1445467 pt
※02/09（日） 23:29 集計時点のポイントです	
	
1位	34249565 pt
100位	3711535 pt
1200位	1447475 pt
※02/09（日） 23:30 集計時点のポイントです	
	
	
1位	34270861 pt
100位	3729174 pt
1200位	1449970 pt
※02/09（日） 23:31 集計時点のポイントです	
	
1位	34289852 pt
100位	3729174 pt
1200位	1450623 pt
※02/09（日） 23:32 集計時点のポイントです	
	
1位	34308827 pt
100位	3729174 pt
1200位	1453318 pt
※02/09（日） 23:33 集計時点のポイントです	
	
1位	34339833 pt
100位	3729174 pt
1200位	1455646 pt
※02/09（日） 23:34 集計時点のポイントです	
	
1位	34365641 pt
100位	3729174 pt
1200位	1461107 pt
※02/09（日） 23:35 集計時点のポイントです	
	
1位	34392769 pt
100位	3729174 pt
1200位	1465276 pt
※02/09（日） 23:36 集計時点のポイントです	
	
1位	34420823 pt
100位	3729174 pt
1200位	1469740 pt
※02/09（日） 23:37 集計時点のポイントです	
	
1位	34446893 pt
100位	3729174 pt
1200位	1472161 pt
※02/09（日） 23:38 集計時点のポイントです	
	
1位	34465934 pt
100位	3729174 pt
1200位	1475780 pt
※02/09（日） 23:39 集計時点のポイントです	
	
1位	34491926 pt
100位	3734694 pt
1200位	1479361 pt
※02/09（日） 23:40 集計時点のポイントです	
	
	
1位	34506193 pt
100位	3746963 pt
1200位	1482782 pt
※02/09（日） 23:41 集計時点のポイントです	
	
	
1位	34506193 pt
100位	3760244 pt
1200位	1483449 pt
※02/09（日） 23:42 集計時点のポイントです	
	
1位	34510938 pt
100位	3760244 pt
1200位	1486759 pt
※02/09（日） 23:43 集計時点のポイントです	
	
1位	34520328 pt
100位	3760244 pt
1200位	1489018 pt
※02/09（日） 23:44 集計時点のポイントです	
	
	
1位	34539216 pt
100位	3760244 pt
1200位	1497158 pt
※02/09（日） 23:45 集計時点のポイントです	
	
1位	34555630 pt
100位	3760244 pt
1200位	1501113 pt
※02/09（日） 23:46 集計時点のポイントです	
	
	
1位	34569884 pt
100位	3764563 pt
1200位	1502960 pt
※02/09（日） 23:47 集計時点のポイントです	
	
	
1位	34584165 pt
100位	3777595 pt
1200位	1503971 pt
※02/09（日） 23:48 集計時点のポイントです	
	
1位	34586564 pt
100位	3779359 pt
1200位	1509881 pt
※02/09（日） 23:49 集計時点のポイントです	
	
1位	34607746 pt
100位	3779359 pt
1200位	1510822 pt
