2/10/2014 21:00:00	
1位	36287864 pt
100位	4376475 pt
1200位	2577494 pt
※02/11（月） 00:00 集計時点のポイントです	
	
1位	34750134 pt
100位	3806536 pt
1200位	1543237 pt
※02/10（月） 21:00 集計時点のポイントです	
	
1位	34762930 pt
100位	3806536 pt
1200位	1548455 pt
※02/10（月） 21:05 集計時点のポイントです	
	
1位	34781798 pt
100位	3815003 pt
1200位	1557515 pt
※02/10（月） 21:09 集計時点のポイントです	
	
	
1位	34781798 pt
100位	3823235 pt
1200位	1560367 pt
※02/10（月） 21:10 集計時点のポイントです	
	
	
1位	34793802 pt
100位	3835022 pt
1200位	1579235 pt
	
	
1位	34793802 pt
100位	3835022 pt
1200位	1579235 pt
※02/10（月） 21:15 集計時点のポイントです	
	
1位	34793802 pt
100位	3848621 pt
1200位	1594040 pt
※02/10（月） 21:19 集計時点のポイントです	
	
	
1位	34793802 pt
100位	3859568 pt
1200位	1599027 pt
※02/10（月） 21:20 集計時点のポイントです	
	
	
1位	34817554 pt
100位	3890880 pt
1200位	1620252 pt
※02/10（月） 21:24 集計時点のポイントです	
	
1位	34817554 pt
100位	3895889 pt
1200位	1625022 pt
※02/10（月） 21:25 集計時点のポイントです	
	
1位	34817554 pt
100位	3903055 pt
1200位	1646594 pt
※02/10（月） 21:29 集計時点のポイントです	
	
1位	34822309 pt
100位	3903055 pt
1200位	1652297 pt
※02/10（月） 21:30 集計時点のポイントです	
	
1位	34836538 pt
100位	3905117 pt
1200位	1673770 pt
※02/10（月） 21:35 集計時点のポイントです	
	
1位	34848484 pt
100位	3929128 pt
1200位	1698945 pt
※02/10（月） 21:40 集計時点のポイントです	
	
1位	34876697 pt
100位	3968616 pt
1200位	1725604 pt
※02/10（月） 21:45 集計時点のポイントです	
	
1位	34907737 pt
100位	3993987 pt
1200位	1745565 pt
※02/10（月） 21:50 集計時点のポイントです	
	
	
1位	34941040 pt
100位	4005054 pt
1200位	1769282 pt
※02/10（月） 21:55 集計時点のポイントです	
1位	34955353 pt
100位	4019989 pt
1200位	1797661 pt
※02/10（月） 22:00 集計時点のポイントです	
	
1位	34969605 pt
100位	4029407 pt
1200位	1821890 pt
※02/10（月） 22:05 集計時点のポイントです	
	
	
1位	34991060 pt
100位	4062418 pt
1200位	1848684 pt
※02/10（月） 22:10 集計時点のポイントです	
	
1位	35017159 pt
100位	4062959 pt
1200位	1877117 pt
※02/10（月） 22:15 集計時点のポイントです	
	
	
1位	35017159 pt
100位	4112437 pt
1200位	1906867 pt
※02/10（月） 22:20 集計時点のポイントです	
	
1位	35028984 pt
100位	4136719 pt
1200位	1937357 pt
※02/10（月） 22:25 集計時点のポイントです	
	
1位	35028984 pt
100位	4170600 pt
1200位	1961056 pt
※02/10（月） 22:30 集計時点のポイントです	
	
	
1位	35028984 pt
100位	4198460 pt
1200位	1988134 pt
※02/10（月） 22:35 集計時点のポイントです	
	
	
1位	35028984 pt
100位	4229453 pt
1200位	2015860 pt
※02/10（月） 22:40 集計時点のポイントです	
	
1位	35028984 pt
100位	4237770 pt
1200位	2046543 pt
※02/10（月） 22:45 集計時点のポイントです	
	
	
1位	35028984 pt
100位	4243081 pt
1200位	2075596 pt
※02/10（月） 22:50 集計時点のポイントです	
	
	
1位	35054799 pt
100位	4243081 pt
1200位	2107730 pt
※02/10（月） 22:55 集計時点のポイントです	
1位	35163386 pt
100位	4243081 pt
1200位	2136813 pt
※02/10（月） 23:00 集計時点のポイントです	
	
1位	35279694 pt
100位	4259389 pt
1200位	2168163 pt
※02/10（月） 23:05 集計時点のポイントです	
	
1位	35379095 pt
100位	4259389 pt
1200位	2208555 pt
※02/10（月） 23:10 集計時点のポイントです	
	
1位	35473835 pt
100位	4283263 pt
1200位	2244203 pt
※02/10（月） 23:15 集計時点のポイントです	
	
1位	35556135 pt
100位	4297273 pt
1200位	2278312 pt
※02/10（月） 23:20 集計時点のポイントです	
	
	
1位	35639882 pt
100位	4311087 pt
1200位	2313126 pt
※02/10（月） 23:25 集計時点のポイントです	
	
1位	35717701 pt
100位	4312593 pt
1200位	2353557 pt
※02/10（月） 23:30 集計時点のポイントです	
	
1位	35772031 pt
100位	4324461 pt
1200位	2391357 pt
※02/10（月） 23:35 集計時点のポイントです	
	
	
1位	35894496 pt
100位	4357858 pt
1200位	2428520 pt
※02/10（月） 23:40 集計時点のポイントです	
	
1位	36024776 pt
100位	4373800 pt
1200位	2456503 pt
※02/10（月） 23:44 集計時点のポイントです	
	
1位	36049823 pt
100位	4373800 pt
1200位	2461802 pt
※02/10（月） 23:45 集計時点のポイントです	
	
	
1位	36081128 pt
100位	4373800 pt
1200位	2470579 pt
※02/10（月） 23:46 集計時点のポイントです	
	
	
1位	36099922 pt
100位	4373800 pt
1200位	2478369 pt
※02/10（月） 23:47 集計時点のポイントです	
	
	
1位	36118660 pt
100位	4373800 pt
1200位	2487363 pt
※02/10（月） 23:48 集計時点のポイントです	
	
	
1位	36150009 pt
100位	4373800 pt
1200位	2496883 pt
※02/10（月） 23:49 集計時点のポイントです	
	
	
1位	36158571 pt
100位	4373800 pt
1200位	2505200 pt
※02/10（月） 23:50 集計時点のポイントです	
	
1位	36201790 pt
100位	4373800 pt
1200位	2511788 pt
※02/10（月） 23:51 集計時点のポイントです	
	
	
1位	36214317 pt
100位	4373800 pt
1200位	2516787 pt
※02/10（月） 23:52 集計時点のポイントです	
	
	
1位	36216684 pt
100位	4373800 pt
1200位	2525542 pt
※02/10（月） 23:53 集計時点のポイントです	
	
1位	36235324 pt
100位	4373800 pt
1200位	2531711 pt
※02/10（月） 23:54 集計時点のポイントです	
	
	
1位	36254122 pt
100位	4373800 pt
1200位	2538767 pt
※02/10（月） 23:55 集計時点のポイントです	
	
1位	36266697 pt
100位	4375350 pt
1200位	2546866 pt
※02/10（月） 23:56 集計時点のポイントです	
	
1位	36272933 pt
100位	4375853 pt
1200位	2552323 pt
※02/10（月） 23:57 集計時点のポイントです	
	
1位	36279216 pt
100位	4376043 pt
1200位	2561839 pt
※02/10（月） 23:58 集計時点のポイントです	
	
	
1位	36287864 pt
100位	4376475 pt
1200位	2570073 pt
※02/10（月） 23:59 集計時点のポイントです	
