100位	3,309,181 pt
500位	975,962 pt
1200位	382,202 pt
1300位	350,193 pt
1000位	465,867 pt
1位	21,113,309 pt
10位	10,372,739 pt
11位	10,321,730 pt
20位	7,238,010 pt
700位	696,906 pt
765位	633,325 pt
770位	629,060 pt
300位	1,439,351 pt
1999位	191,930 pt
2000位	191,187 pt
2999位	129,939 pt
3000位	129,889 pt
3999位	93,422 pt
4000位	93,421 pt
4999位	74,360 pt
5000位	74,355 pt
9999位	29,458 pt
10000位	29,456 pt
15000位	4,953 pt
20000位	0 pt
30000位	0 pt
※07/06 17:00 集計時点のポイントですBY SKDN
