100位	1029465722 pt
500位	253035227 pt
1200位	185138833 pt
1300位	110646704 pt
1000位	190955505 pt
765位	199064113 pt
770位	198763610 pt
1位	11246265690 pt
10位	2888888908 pt
11位	2066302844 pt
20位	1573932505 pt
300位	505963145 pt
2000位	51107778 pt
4000位	23373836 pt
10000位	5798386 pt
※03/08 00:00 集計時点のポイントですBY SKDN
