チームI30位	1516945 pt
チームI31位	1480703 pt
チームI32位	1462873 pt
チームI33位	1447115 pt
チームI34位	1444026 pt
チームI35位	1399011 pt
チームI36位	1395870 pt
チームI37位	1374427 pt
チームI38位	1346544 pt
チームI39位	1344795 pt
チームI40位	1330174 pt
チームI41位	1305419 pt
チームI42位	1304515 pt
チームI43位	1295988 pt
チームI44位	1286275 pt
チームI45位	1284663 pt
チームI46位	1266834 pt
チームI47位	1249843 pt
チームI48位	1242113 pt
チームI49位	1240514 pt
チームI50位	1232912 pt
チームJ21位	1307042 pt
チームJ22位	1295715 pt
チームJ23位	1290516 pt
チームJ24位	1279885 pt
チームJ25位	1268147 pt
チームJ26位	1258875 pt
チームJ27位	1248907 pt
チームJ28位	1239984 pt
チームJ29位	1239709 pt
チームJ30位	1236072 pt
チームJ31位	1220700 pt
チームJ32位	1207457 pt
チームJ33位	1192019 pt
チームJ34位	1147582 pt
チームJ35位	1138668 pt
チームJ36位	1137638 pt
チームJ37位	1114571 pt
チームJ38位	1114157 pt
チームJ39位	1087376 pt
チームJ40位	1079270 pt
チームJ41位	1077043 pt
チームJ42位	1076287 pt
チームJ43位	1065896 pt
チームJ44位	1050743 pt
チームJ45位	1041775 pt
チームJ46位	1038324 pt
チームJ47位	1031537 pt
チームJ48位	1024839 pt
チームJ49位	1008224 pt
チームJ50位	995513 pt
※10/23 16:09 集計時点のポイントですBY SKDN
