100位	39,509,139 pt
500位	7,871,922 pt
1200位	1,522,588 pt
1300位	1,270,209 pt
1000位	2,331,671 pt
1位	1,135,585,465 pt
10位	191,197,883 pt
11位	143,976,485 pt
20位	97,243,884 pt
700位	4,524,211 pt
765位	3,865,530 pt
770位	3,830,636 pt
300位	14,940,791 pt
1500位	917,357 pt
1999位	492,606 pt
2000位	491,483 pt
2999位	180,099 pt
3000位	180,029 pt
3999位	86,968 pt
4000位	86,917 pt
4999位	45,479 pt
5000位	45,443 pt
9999位	993 pt
10000位	993 pt
15000位	0 pt
※07/28 20:23 集計時点のポイントですBY SKDN
