100位	42,209,246 pt
500位	8,719,794 pt
1200位	1,757,788 pt
1300位	1,462,703 pt
1000位	2,601,866 pt
1位	1,198,299,440 pt
10位	193,834,027 pt
11位	163,183,961 pt
20位	113,613,690 pt
700位	5,170,503 pt
765位	4,485,886 pt
770位	4,399,135 pt
300位	16,233,406 pt
1500位	1,065,844 pt
1999位	548,265 pt
2000位	546,906 pt
2999位	203,035 pt
3000位	203,021 pt
3999位	98,667 pt
4000位	98,617 pt
4999位	51,533 pt
5000位	51,499 pt
9999位	1,580 pt
10000位	1,565 pt
15000位	0 pt
※07/28 20:56 集計時点のポイントですBY SKDN
