100位	 606,369,915  pt
500位	 262,129,695  pt
1200位	 167,953,049  pt
1300位	 119,915,042  pt
1000位	 183,707,875  pt
1位	 6,215,471,493  pt
10位	 1,116,551,448  pt
11位	 1,014,570,943  pt
20位	 822,057,880  pt
700位	 206,695,978  pt
765位	 201,585,011  pt
770位	 201,124,964  pt
300位	 303,355,011  pt
1999位	 65,633,005  pt
2000位	 65,608,426  pt
2999位	 40,243,223  pt
3000位	 40,210,936  pt
3999位	 29,881,964  pt
4000位	 29,881,133  pt
4999位	 23,705,257  pt
5000位	 23,701,053  pt
9999位	 7,064,193  pt
10000位	 7,063,170  pt
15000位	 1,352,353  pt
20000位	 13,891  pt
30000位	 0  pt
45000位	 0  pt
60000位	 0  pt
※07/02 23:21 集計時点のポイントですBY SKDN
